ID,Search Name,Name,Vintage,Country,Region,Winery,Price,Currency,Flavor,Acidity,Intensity,Sweetness,Tannin,Sparkling,Image Link,Grapes,Wine Style,Alcohol Content,Food Pairings,URL
10746241,felton-road-macmuir-pinot-noir-2021,Felton Road MacMuir Pinot Noir 2021,2021,New Zealand,Central Otago,Felton Road,115500,₩,[],3.974,3.039,1.654,2.5579998,,//images.vivino.com/thumbs/6xeEJXewT6WRzIGjwuwOCA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/10746241?year=2021
96986,jane-ventura-mas-vilella-2003,Jané Ventura Mas Vilella 2003,2003,Spain,Penedès,Jané Ventura,49917,₩,[],2.94029,4.2869563,1.4414493,3.5549273,,//images.vivino.com/thumbs/CeTfA62ITUCh2uMhPtYMPA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/96986?year=2003
1192407,chateau-bouscaut-pessac-leognan-grand-cru-classe-de-graves-1982,Château Bouscaut Pessac-Léognan (Grand Cru Classé de Graves) 1982,1982,France,Pessac-Léognan,Château Bouscaut,136057,₩,[],4.2525105,4.29786,1.6620224,4.3370886,,//images.vivino.com/thumbs/UhhqPK1LSROmsfUWgDzBlg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1192407?year=1982
836,chimney-rock-winery-elevage-2017,Chimney Rock Elevage 2017,2017,United States,Stags Leap District,Chimney Rock,360000,₩,[],3.7788687,4.6730227,1.4880911,3.398604,,//images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/836?year=2017
1148844,haut-brion-le-clarence-de-haut-brion-pessac-leognan-chateau-bahans-haut-brion-1988,Château Haut-Brion Le Clarence de Haut Brion Pessac-Léognan (Château Bahans Haut-Brion) 1988,1988,France,Pessac-Léognan,Château Haut-Brion,255107,₩,[],4.2200184,4.1885347,1.535086,4.225704,,//images.vivino.com/thumbs/YSmFivppSEaffbiXmlmGUA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1148844?year=1988
2042,heartland-wines-pty-ltd-director-s-cut-shiraz-2005,Heartland Director's Cut Shiraz 2005,2005,Australia,Langhorne Creek,Heartland,56157,₩,[],2.998222,4.7770596,2.013509,3.1392236,,//images.vivino.com/thumbs/8aM7jLSBSr6uArbbdTyL1w_pb_x600.png,[],[],[],[],https://www.vivino.com/w/2042?year=2005
1238744,bests-bin-no-0-shiraz-2008,Best's Bin No 0 Shiraz 2008,2008,Australia,Great Western,Best's,137272,₩,[],3.004464,4.5557094,1.8364234,3.0519843,,//images.vivino.com/thumbs/mCbJfQj8RfahmurbAGjTBA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1238744?year=2008
2038572,durfort-vivens-margaux-grand-cru-classe-1986,Château Durfort-Vivens Margaux (Grand Cru Classé) 1986,1986,France,Margaux,Château Durfort-Vivens,184244,₩,[],4.194517,3.8209307,1.4908794,3.8314369,,//images.vivino.com/thumbs/UsMB8NgIS-iHuMAmrjNUCA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/2038572?year=1986
1150484,cayuse-winery-en-chamberlin-vineyard-syrah-2010,Cayuse Vineyards En Chamberlin Vineyard Syrah 2010,2010,United States,Walla Walla Valley,Cayuse Vineyards,380000,₩,[],3.4819388,3.9832654,1.7436838,3.5657039,,//images.vivino.com/thumbs/5tKbuD_5TO6AUIuw38aGZQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1150484?year=2010
92366,auguste-clape-cornas-1996,Auguste Clape Cornas 1996,1996,France,Cornas,Auguste Clape,354315,₩,[],3.5427668,4.6775594,1.6131004,3.4234357,,//images.vivino.com/thumbs/Zb605wBwRCKVkg6kXEffDg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/92366?year=1996
1395058,destiny-bay-vineyards-mystae-2013,Destiny Bay Vineyards Mystae 2013,2013,New Zealand,Waiheke Island,Destiny Bay Vineyards,379641,₩,[],3.5650878,3.8555186,2.0919695,3.31878,,//images.vivino.com/labels/tkg0clUqQtu7dsftPRtwgw.jpg,[],[],[],[],https://www.vivino.com/w/1395058?year=2013
16368,kalleske-old-vine-grenache-2007,Kalleske Old Vine Grenache 2007,2007,Australia,Barossa,Kalleske,133112,₩,[],3.0762777,3.987361,2.8145425,2.9167404,,//images.vivino.com/thumbs/VGhZjZL0Q2qZtxS9-gWcSw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/16368?year=2007
